Type de Projet,Name,Tags,description,Image name,Link
Personnal,DYSON SPHERE INITIATIVE,"gamedev, UE5, art","Dyson Sphere Initiative is a small project I made, inspired by the game ExoMiner, at the end of the 2023 summer to train myself in making UI, using unreal engine 5 widgets.",,
Personnal,Summoner's Clash,"gamejam, gamedev, unity, c#, pixel art","Summoner's Clash is a game made for the Ludum Dare 55 Game Jam. Picks cards and find the right combos to destroy your opponent.
",,
Personnal,Apologues des Songes : Belleville,"unity, game design","Belleville is a immersive sim with metroidvania elements concept currently being prototyped.
you can find the complete pitch in the link below.",,
School,Hellscape,"gamedev, UE5, Unreal Blueprints","Hellscape is a tower defense game, made during my first school year as an end of year project, with a team composed of 3 Game Designers and 4 3D Artists.
",,
School,Indiana Jones And The Lost City Of Atlantis,"gamedev, game design, unity, c#","The lost city of Atlantis is a prototype made in a school workshop, inspired by games like Mist or The Room, set in the universe of Indiana Jones and made in 3 weeks by a group of 4 game designers, during my second year of game design at Brassart.
",,
School,Crime au Mont Saint-Michel,"gamedev, unity, c#, VR","CRIME au mont saint-michel is a short detective VR game, which take place in... you wouldn't guess... ""Mont Saint-Michel"". It was made by a groupe of 3 game designers in about 3 weeks, during my second year of game design at Brassart.
",,
School,Darkest Night,"gamedev, unity, c#, pixel art, game design","The Darkest Night is a horror arcade game. The player's goal is to, firstly not die, and secondly get as many points as possible. It was made as an end of year SOLO project, in about 2 weeks of work.
",,
School,Simulation Of Speed,"level design, unity","This project was meant to use every mean possible to simulate speed.
! This is not meant to be a playable game !
",,
School,Penitence,"gamedev, unity, c#, game design, pixel art","This is our end of study project, as a 3 person group and still in work in progress.
Pénitence is a simultaneous turn on a grid based, pixel art, game where you play an innocent youngster who must climb a world tower, meet new society and age at each floor with a unique skill system.
Our goal is to emphasize two theories about the corruption of man by society and humans as a social animal.
",,
School,Datamass,"gamedev, unity, c#, game design, system design","Destroy your friends with superweapons in DATAMASS.
DATAMASS is inspired by game like Planetary Annihilation : Titans and Total Annihilation.
Create your own map, with an in game map editor, and play with your friends thanks to Coherence Multiplayer.
! This is a End of School Personnal Project currently in developement !
",,
