name,tags,description,My contribution,link
Hellscape,"gamedev, UE5, Unreal Blueprints","Hellscape is a tower defense game, made during my first school year as an end of year project, with a team composed of 3 Game Designers and 4 3D Artists.
","Hellscape was my first game project in collaboration with 3 game designers and 4 external 3D artists. Our task was to create a tower defense game in about 2 to 3 weeks. And we did it ! 

Tower defense games are pretty straight forward. The player has turrets which he can use to stop waves of enemies from reaching and destroying something like a core. With this initial core gameplay, we wanted something unique which added dynamics to the player strategy since most tower defense stagnates once you had all your turrets placed. Our design choice was to make the turrets cost and the player life the same ressource, which the player can gather back by killing enemies and have each turret have a lifetime.

In this collaboration, I worked on the code implementation of all our ideas and mechanics with some help from my colleagues, in addition I enjoyed working on the UI, it was a first for me to work with Unreal Widgets. And finally, I helped coordinate the collaboration between us the game designer and the external 3D artists group.",
Indiana Jones And The Lost City Of Atlantis,"gamedev, game design, unity, c#","The lost city of Atlantis is a prototype made in a school workshop, inspired by games like Mist or The Room, set in the universe of Indiana Jones and made in 3 weeks by a group of 4 game designers, during my second year of game design at Brassart.
","This trademarked and absolutely not licensed game was made as a tribute to Indiana Jones and inspired by The Room games.

Our tasks were to take the Indiana Jones licence and to create a game on it in two weeks. My task was to implement all the puzzles created by my team of 3 other game designers.",
Crime au Mont Saint-Michel,"gamedev, unity, c#, VR","CRIME au mont saint-michel is a short detective VR game, which take place in... you wouldn't guess... ""Mont Saint-Michel"". It was made by a groupe of 3 game designers in about 3 weeks, during my second year of game design at Brassart.
","Making games in VR is surprisingly easy with unity. 

For this project, we had to make a VR game set in the famous Mont Saint-Michelle. We had no genre restriction, and so we decided to create a detective game where the player could use a magnifying glass to see in the past. 

I was in charge of all the game mechanics implementation, which took me about 2 weeks of work. Sadly we did not have the help of 3D artists, so we used what we could to create a unique experience.

In the end, we had about 5 to 10 minutes of fun gameplay where the player had to solve mysteries by holding, throwing and placing objects, as well as using his intuition and detective skills to find clues in order to escape the room he was stuck in.",
Darkest Night,"gamedev, unity, c#, pixel art, game design","The Darkest Night is a horror arcade game. The player's goal is to, firstly not die, and secondly get as many points as possible. It was made as an end of year SOLO project, in about 2 weeks of work.
","Darkest night was made as an end of second year solo project with two themes : Horror / Racing Game. 
At first, I was not inspired. Who is ?A racing game is pretty straight forward, but mixed with horror … I could not find a single idea on how to get something other than aesthetically. I wanted to create something which really integrated horror in its gameplay mechanics. But then, I remembered arcade games and infinite runners and I thought that by mixing both of them with unique mechanics which can create tension with the player action, it could work.

My first step was to create a 2D vehicle, which worked correctly but was really frustrating when hitting walls (it was never fixed, but if I had to rework it today, I would not make it bounce on walls, but instead reorient the car in the road direction and make other objects such as cars or buses pushable by the player). Then I created an infinite road and filled it with monsters who, when seeing the player, rushed on him. At this point, I still did not have a clear goal for the player, but this is where arcade games helped me. I decided that the goal of the player was to collect as many points as possible by killing the monsters on its path. It worked, the driving which was not easy to play, but fun to master, gave a real sensation of success, BUT the player could still stop and take its time to chase monsters, so it was not really a racing game. In order to fix that, I added killable but infinite monsters which would respawn and always chase the player wherever he was, stopping was not an option anymore.

And here is how I was able to create Darkest Night while listening to Kavinsky.",https://guyfh3ctor.itch.io/darkest-night
Simulation Of Speed,"level design, unity","This project was meant to use every mean possible to simulate speed.
! This is not meant to be a playable game !
","Level design, Pitching of speed feedback, Programming of speed feedback",https://guyfh3ctor.itch.io/simulation-of-speed
Penitence,"gamedev, unity, c#, game design, pixel art","Embark on a journey of penance to absolve yourself of your future or past sins. Explore the ignorance of adolescence as you discover the world and its civilizations. Form relationships and shape your ideals and skills through your words and actions.
","Penitence is an overscoped 2D rpg where the player could explore the world, interact with npcs or kill them all, and it would all still work and influence the player skills and story.

This was an end of school project with only 3 game designers, and me as the only programmer.

I was able to implement : 
* An inventory system with equippable items based on the player skills.
* A skill system which can be influenced by the player's actions.
* A field of view and a A* pathfinding for the player and npcs.
* A dialogue system.
* A simultaneous turn based movement system.NPC combat AI.
* A combat system.

In addition, I was able to work on the UI of the game.",
Datamass,"gamedev, unity, c#, game design, system design","Destroy your friends with superweapons in DATAMASS.
DATAMASS is inspired by game like Planetary Annihilation : Titans and Total Annihilation.
Create your own map, with an in game map editor, and play with your friends thanks to Coherence Multiplayer.
! This is a End of School Personnal Vertical Slice !
","I have always been a big fan of the RTS genre, Stronghold Crusader was one of the first games I played on my family computer (it was also the only game we had), and in recent years, I have been a big fan of Planetary Annihilation : Titans. So, I wanted to have a go at the genre with big explosions and total annihilations between players.

While I had the idea of the game in my head, I had the opportunity to take some time all alone at the end of my second year at Brassart game design school to try and create the game. At this point, I only had a few projects made with unity, and all of them were oriented toward narrative driven games. So this was a new challenge with unique systems and multiplayer. 

In order to be able to complete the project, I had to restrict my goals :
* The game would use the coherence multiplayer plugin for quick implementation (it was not quick). 
* It would only be a pvp 1v1.
* No AI enemies.
* Small maps.
* And finally I didn’t have enough time to dive into the unity dot system, so i could not use it.

THE MAP
One of my first steps was to create a map. I wanted something where the player could destroy the environment, however the time didn’t allow me to search for vertex displacement on terrain meshes, so instead i created a quick, simple and absolutely not optimized terrain editor where i could add cubes, edit their properties, and remove them in game and in editor. 
It actually worked pretty well, and all the map data where stored in a text file, but when making a multiplayer game, both players need to be on the same map, and unfortunately, the coherence multiplayer plugin didn't allow me to share between players large amounts of strings. So when a map created by a player, and stored on his computer was loaded, the map data could not be transferred, and the remote player could not load the map. And while I could have been able to share a smaller amount of strings and load the map on both computers, I didn’t have the time, so I scrapped the idea, and loaded all players on a map I created. 
The map editor is however still available, even if it cannot be loaded in a game.

UNITS
a RTS without units isn’t complete. In Datamass, units are either troops, or buildings. Troops can be moved around by selecting them and ordering them around. They are able to attack, hold a position, patrol, and some of them are even able to build buildings. The player can select builder units and order them to build a single or multiple buildings. And similar to PA:T, the player must defend his Datamass, a big and slow commander, who can both build and attack. 
Each unit also has a billboard for easy identification.FOR OF WARI didn’t want the player to be able to see other players all the time, so enemy units outside the detection range of the player unit were not visible. But this felt incomplete because the terrain didn’t feel hidden, or obscured. So I used a clever shader trick and applied it on all terrain materials. The shader received the location and the range of each player unit and switched the texture on the terrain around them in order to have a lighter color (from grey to blue as an exemple).

CONCLUSION
In the end, all the essential systems for the game were implemented, and 2 players could play against each other. However, by the time I had to turn in my game as an end of year personnel project and continue to work on my end of school group project, I did not have the time to balance the game and fix many of the minor bugs still laying around. But overall I am pretty happy with what I was able to create in about 1 month as a side project.",
DYSON SPHERE INITIATIVE,"gamedev, UE5, art","Dyson Sphere Initiative is a small UI project for a idle game, inspired by the game ExoMiner, and made at the end of the 2023 summer to train myself in making UI, using unreal engine 5 widgets.
","I love idle games. I love when numbers go up. and I love science fiction.

During my first year at Brassart toulouse, I was obsessed with a little idle game called Exominer where the player's only goal is to upgrade its mining operation. When summer came, I just started reading Energy And Civilization by Vacliv Smil and it made me want to create an idle game about energy generation. And nothing generates more energy than a dyson sphere. So I started working on a little game about mining planets, transporting ressources, refining them, and building a dyson sphere with the end goal of compressing the sun to make a black hole with infinite energy (the dream). 

When I started working on the game, I just started learning Unreal Engine 5, and finished my first game in group (Hellscape). 
I loved working with UE5 widgets and I wanted to create a really good UI/UX experience. Everything you can see in DSI was handmade by me using Adobe Illustrator and animated using UE5 widgets. 

It was a great experience. Sadly, I still didn’t have enough experience with blueprints and programming in general so I kept getting stuck with the save system, data elements, and general programming questions.

I really liked this project, and I may one day redo it using Unity or Godot, as I got more familiar with them.",
Summoner's Clash,"gamejam, gamedev, unity, c#, pixel art","Summoner's Clash is a game made for the Ludum Dare 55 Game Jam. Picks cards and find the right combos to destroy your opponent before he does.
","Summoner's clash was made in about 2-3 days. At first we were supposed to be 3 or 4 people working on it. I ended up writing all the code and doing all the artwork (i did not expect that), and my colleague tried to create cards.

Anyway, the game is all about summoning spells in order to render your opponent, an AI, incapacitated. At first, we wanted to draw shapes to summon the spells, but it was not technically feasible with our skills, so we went back and tried cards, it worked, and it was kinda fun, however, card combinations are not clear which makes it impossible for players to remember it. 

As of today, I would change a few things : 
* Add an encyclopedia of used combinations.
* Create spell types fire, water, void, etc… with different effect based on the number of cards of the type used, 2 fire = fireball or 3 fire = hellfire.
* Create combinations based on spell types (fire + water = steam, void + water = ice, etc …).
* Create additional effects which influence the receiving actor (slow summoning time, slow down cursor, redraw all cards, etc…).",https://guyfh3ctor.itch.io/summoners-clash
Belleville,"unity, game design","Belleville is a immersive sim with metroidvania elements concept currently being prototyped.
you can find the complete pitch in the link below.","In 2025, I replayed Dishonored 1 & 2 and I discovered metroidvania games with hollow knight : Silksong and MIO : memories in orbit. I loved both of those games very deeply, how I interacted with the worlds, the consequences of my actions, the discovery of mysteries and the lore, story and all the things around it.

Belleville is a love letter (pitch) to the things that I love. It is a human story with themes such as transhumanism, identity, social fights, urbanism, and power corruption on a human scale deep within a city built like a megastructure with European influence.

I want to base the game on a solid foundation with mechanics already used in games like Arkane games and IOI games and progression like metroidvania games.

The player will take control of a doll (une poupée) who woke up after its body entered the gate of the city and fell down in terror at the bottom of its street. You don’t know who you are and how you arrived here, but you will for sure discover it while making your own path in the streets of Belleville.

Your body is a template and can be altered to use a mysterious resource which allows you to use powers beyond understanding and even go back in time (ressource based save system).

As of now, I created a prototype for the character movement, but most of it is still in development.",https://docs.google.com/presentation/d/1EnsD9qNZP1jYCgj9-HwsdTD6Vea5ejuPdYu8bBiKINs/edit?usp=sharing
This website,"html, css, javascript",I wanted a beautifull portfolio made by my own hands.,"I always wanted to try and create a website from scratch. This is it !
It was not easy, this is probably the V3.4, but I learned a lot about HTML5, css and javascript.
I also used the creation of this website in order to learn how to use AI tools to explain or plan what I must do. It is great to summarize problems, but not a lot for easy to read and reuse code. But it is great for autocompleted comments.",
